Title,Year,Synopsis,Genres,Link,Comments,Related Movies,Likes,RTCritics %,RTAudience %,IMDb,Directors,Actors
Ted K,2021," Ted K lives a life of almost complete seclusion in a simple wooden cabin in the mountains of Montana. But then this former university professor, who despises modern society and its faith in technology, becomes radicalized. What begins with local acts of sabotage, ends with deadly bomb attacks. To the outside world, Ted K becomes known as the Unabomber. Based on Ted Kaczynski's diaries and writings, Tony Stone's film is a kaleidoscopic true crime journey into the life of one of America's most complex and eccentric killers. It features a tour-de-force performance from Sharlto Copley who portrays the complexity of this unique outsider, raging at the forces of both the inescapable technological society that plagues him and his own inner demons. ","('Biography', 'Crime', 'Drama')",https://yts.mx/movies/ted-k-2021,"(""Let's Go Brandon!"", 'Leftoid propaganda. He was so right they have to try and paint his truthfulness and genius as ""mental illness."" Uncle Ted is a great prophet of our modern times.', 'This movie sucks entire time.', 'So boring', 'Why are leftards so predicable.', 'Thank you for Freeman ! i think this movie touched some of a intressting truths of people Ted . he is a ordinary person who faced and grow up in the dark sides of society and intellect, society should take this as a lesson specially on the parenting and educating sides.our society is at stack.', ""People who think he was a hero miss the point of someone like him. At the same time, it is wrong to dismiss him as a mentally ill person or nutjob, he was just like any other person super affected by something he thought was wedding that he felt he had to do something about. But chose the wrong way to express his frustrations and feelings. He's not a hero, he just spit the dummy and paid the price for it. Don't be like Ted, Ted now dead"", ""Ah, the incel's favorite hero. Screaming their hero worship using a device that Ted hated, in a system that Ted despised, about a media that Ted would have burned from the earth. You're like teenagers in a shopping mall wearing Che t-shirts."", ""Boring as hell. Don't bother."", 'Ted K was a hero. one day his vision will be realized', ""@WhatDa - and you're a racist, communist, waste of space prick! EDUCATE YOURSELF!!!!"", '""My communist school teacher that had pink hair and 3 nose rings and couldnt determine whether they were a boy or a girl told me that Ted K was racist, bigot, and stupid.""', 'another example of somebody 20 times worse and who did more damage and who actually killed people than much over talked about overhyped manson, the film itself? 6/10 accurate rating ok, but meh nothing we dont already know', 'Ted was a hero', 'Well done. Accurate depiction.', 'Certified psycho murderer. GFY, goof', 'Hello from England ????', 'IMDB currently at 6.4', 'Before you watch this movie, read the first 10 Pages of Mr Kaczynski\'s book. Google ""Industrial Society and it\'s Future Theodore Kaczynski"", you\'ll find it right away.', '"" ""The big problem is that people don\'t believe a revolution is possible, and it is not possible precisely because they do not believe it is possible.""', ""Thank you Freeman! I've been waiting for this film!"")",(),19,85,50,6.2,"('Tony Stone',)","(('Bobby Tisdale', 'Computer Store Customer'), ('Drew Powell', 'Tom'), ('Sharlto Copley', 'Ted'))"
Licorice Pizza,2021," LICORICE PIZZA is the story of Alana Kane and Gary Valentine growing up, running around and falling in love in the San Fernando Valley, 1973. Written and Directed by Paul Thomas Anderson, the film tracks the treacherous navigation of first love. —United Artist Releasing ","('Comedy', 'Drama', 'Romance')",https://yts.mx/movies/licorice-pizza-2021,"('@Gojira54 What the heck is PTA? google say Parent Teacher Association.', 'Um. They never slept together. Not in the version I saw.', 'whats the age of consent in california?', 'I thought ouatih was bad this is as bad , once good directors have fallen real low now. actually this is better than that borefest but this isnt too far off 4/10', 'outrageously pathetic movie', 'licorice pizza fans when they learn about the age of consent: ????????????????????????????', 'It seems the paid reviewers from IMDB have come here?', 'wow ~ Philip seymour hoffman would be so proud of cooper!!! this was just incredible and i just wanted to say thank you for all of the great uploads that you have provided for us!!! happy 11 year anniversary!!! thanks again ~ for everything!!! smooches xoxo - Carla Santiago', ""9/10 - Been waiting so long to see this - and I love it, mainly for Alana Haim (with her fellow Haim muso sisters - and parents - all so talented!) And for the extraordinary young Cooper Hoffman, who seems to be carrying on his father's acting tradition (Philip Seymour Hoffman). Alana & Cooper bounce beautifully off each other, somehow anchoring this rather giddy film experience. All this is so ably guided by writer/director Paul Thomas Anderson, who has so often proved he can make the surreal seem real. Love it!!"", 'This movie makes me appreciate having normal spacing between my eyes.', 'I looove the movie poster sooo much!', 'thanks a lot', 'Whoot1!!', ""I've been waiting a while for this one. Thanks! I love me some PTA!"", 'Red or Black?')","('Fat Pizza', 'Fat Pizza vs. Housos', 'Mystic Pizza', 'The Pizza Joint')",44,91,66,7.8,"('Paul Thomas Anderson',)","(('Bradley Cooper', 'Jon Peters'), ('Liz Cackowski', 'Stage Mom'), ('Craig Stark', 'Long Haired Freak'), ('Karen Kilgariff', 'Joel Wachs Mom'))"
Texas Chainsaw Massacre,2022," After nearly 50 years of hiding, Leatherface returns to terrorize a group of idealistic young friends who accidentally disrupt his carefully shielded world in a remote Texas town. ","('Crime', 'Horror', 'Thriller')",https://yts.mx/movies/texas-chainsaw-massacre-2022,(),"('The Texas Chainsaw Massacre', 'An American in Texas', 'Texas Cotton', 'A Small Town in Texas')",68,30,37,5.1,"('David Blue Garcia',)","(('Sam Douglas', 'Herb The Proprietor'), ('William Hope', 'Sheriff'), ('Moe Dunford', 'Richter'), ('Jacob Latimore', 'Dante'))"
Scream,2022," Twenty-five years after the original series of murders in Woodsboro, a new Ghostface emerges, and Sidney Prescott must return to uncover the truth. ","('Horror', 'Mystery', 'Thriller')",https://yts.mx/movies/scream-2022,(),"('Scream', 'Scream Blacula Scream', 'Scream and Scream Again', 'Scream for Help')",117,77,81,6.8,"('Matt Bettinelli-Olpin',)","(('Jenna Ortega', 'Tara Carpenter'), ('Roger Jackson', 'Ghostface'), ('Chester Tam', 'Deputy Vinson'), ('Sonia Ammar', 'Liv McKenzie'))"
Junction 48,2016," Junction 48 is the love story of two young Palestinian hip-hop artists who use their music to fight against both the external oppression of Israeli society and the internal repression of their own crime-ridden, conservative community. It depicts a new generation of young Arabs who seek normality through their love and music - and against all odds. ","('Action', 'Biography', 'Crime')",https://yts.mx/movies/junction-48-2016,(),(),0,,,6.8,"('Udi Aloni',)",()
The Goddess,1960," 'Devi' focuses on a young woman who is deemed a goddess when her father-in-law, a rich feudal land-lord, has a dream envisioning her as an avatar of Kali. —Anonymous ","('Drama',)",https://yts.mx/movies/the-goddess-1960,"('Thanks Mr. Freeman.',)","('The Kneeling Goddess', 'Dance Goddess', 'Goddess of Love', 'Asphalt Goddess')",3,,,7.8,"('Satyajit Ray',)",()
Haruko Azumi Is Missing,2016," It is just another suburban town until the day two events gradually begin to change things forever. First we see a rash of graffiti featuring a local girl, Haruko Azumi, in a series of spray-painted ""Missing Girl"" posters appearing on the walls of the town. The other, more sinister event is the rise of a gang of vicious high school girls making random attacks on men. The local press covers the story, the graffiti goes viral on the internet and the entire story becomes one of the hottest topics on Twitter. On close examination it appears there is a connection, perhaps the Girl Gang have been inspired by the ""Haruko is Missing"" posters and have decided to take revenge on all men. This suspenseful tale features the daily lives of japanese women from various age groups, teenage high-school girls, young women in their 20's just starting their careers, and working women in their 30's, long considered by Japanese custom to be 'past their peek.' ","('Comedy', 'Drama')",https://yts.mx/movies/haruko-azumi-is-missing-2016,(),(),0,,,6.2,"('Daigo Matsui',)","(('Yû Aoi', 'Haruko Azumi'),)"
Assassination Tango,2002," John J. is a seasoned hit man sent on a job to Argentina. When the General he's sent to kill delays his return to the country, John passes the time with Manuela, a beautiful dancer who becomes his teacher and guide into Argentina's sensual world of the tango. Spellbound by the rich and mysterious world Manuela has shown him, his idyll is shattered when the reality of why he's there comes crashing down around him. —Press kit ","('Crime', 'Drama', 'Romance')",https://yts.mx/movies/assassination-tango-2002,(),(),0,,,5.8,"('Robert Duvall',)","(('Julio Oscar Mechoso', 'Orlando'), ('Rubén Blades', 'Miguel'), ('Kathy Baker', 'Maggie'), ('Robert Duvall', 'John J.'))"
Wyszynski - zemsta czy przebaczenie,2021, ,"('Biography', 'Drama', 'War')",https://yts.mx/movies/wyszynski-zemsta-czy-przebaczenie-2021,(),(),0,,,4.7,"('Tadeusz Syka',)",()
Gasoline Alley,2022," A man implicated in the triple homicide of three Hollywood starlets begins his own investigation. Needing assistance, he enlists the two detectives on his tail in order to expose a conspiracy more explosive than any of them imagined. ","('Action', 'Thriller')",https://yts.mx/movies/gasoline-alley-2022,"(""Man, I don't care how good the rest of this looks. I've been conditioned by Willis over the past 20 years to expect the worst. I'm going to do a hard pass until I see a mountain of reviews straight-up telling me that it wouldn't be more rewarding to pee on an electric fence instead of watching this. Thanks for the heads-up Bruce."",)",(),2,,,0,"('Edward Drake',)","(('Bruce Willis', 'Detective Freeman'), ('Sufe Bradshaw', 'Eleanor Rogers'))"
